id,name,measurement_unit
1846,тилапия филе,г
1845,тилапия,г
1844,тесто фило,г
1843,тесто слоеное дрожжевое,кг
1842,тесто слоеное бездрожжевое,по вкусу
1841,тесто слоеное,г
1840,тесто пряничное,г
1839,тесто пресное,г
1838,тесто песочное,по вкусу
1837,тесто пельменное,г
1836,тесто макаронное для лазаньи,г
1835,тесто макаронное,г
1834,тесто катаифи,г
1833,тесто дрожжевое,по вкусу
1832,тесто для пиццы,шт.
1831,тесто для вонтонов,г
1830,тесто готовое,г
1829,тесто бездрожжевое,г
1828,телячья щека,шт.
1827,телячья печень,г
1826,телячья вырезка,г
1825,телячьи эскалопы,г
1824,телячьи шницели,шт.
1823,телячьи отбивные на косточке,шт.
1822,телячий фарш,г
1821,телятина вареная,г
1820,телятина,по вкусу
1819,текила,стакан
1818,творожок клубничный,г
1817,творожный сыр соленый,г
1816,творожный сыр,г
1815,творожная паста,г
1814,творожная масса,г
1813,творог обезжиренный,г
1812,творог зерненый,г
1811,творог жирный,г
1810,творог 9%,г
1809,творог 5%,г
1808,творог 2%,г
1807,творог 18%,г
1806,творог,г
1805,тархун,г
1804,тартар,ст. л.
1803,тарталетки,по вкусу
1802,тапиока,г
1801,тамариндовая паста,ч. л.
1800,тамаринд,шт.
1799,тальятелле-гнезда,шт.
1798,тальятелле,г
1797,тальолини,г
1796,таледжо,г
1795,сычужный фермент,ч. л.
1794,сыр швейцарский,г
1793,сыр хаварти,г
1792,сыр фонтина,г
1791,сыр филадельфия,г
1790,сыр твердый,г
1789,сыр с плесенью мягкий,г
1788,сыр с плесенью,г
1787,сыр сливочный,г
1786,сыр скаморца копченый,г
1785,сыр скаморца,г
1784,сыр российский,г
1783,сыр провола,г
1782,сыр полутвердый,г
1781,сыр пластинками,г
1780,сыр плавленый шоколадный,г
1779,сыр плавленый,г
1778,сыр пеше миньон,г
1777,сыр панир,г
1776,сыр овечий,г
1775,сыр мягкий,по вкусу
1774,сыр мраморный,г
1773,сыр Маскарпоне,г
1772,сыр коттедж,г
1771,сыр копченый,г
1770,сыр колбасный,г
1769,сыр козий твердый,г
1768,сыр козий мягкий,г
1767,сырки творожные,г
1766,сыр кефалотири,г
1765,сыр имеретинский,г
1764,сыр дорблю,г
1763,сыр домашний,г
1762,сыр джугас,г
1761,сыр гравьера,г
1760,сыр голубой,г
1759,сыр голландский,г
1758,сыр гойя,г
1757,сыр гауда,г
1756,сыр буко,г
1755,сыр бри,г
1754,сыр адыгейский,г
1753,сыр Австрия блю,г
1752,сыр tete de moine,г
1751,сыр,г
1750,сыворотка,г
1749,сушки,г
1748,сухофрукты тропические,по вкусу
1747,сухофрукты,г
1746,сухарная крошка,г
1745,сухари ржаные,г
1744,сухари панировочные,г
1743,сухари молотые,г
1742,сухари белые,г
1741,сухари,по вкусу
1740,суповой набор,г
1739,сумах,г
1738,сулугуни копченый,г
1737,сулугуни,г
1736,судак филе на коже,г
1735,судак филе,г
1734,судак,г
1733,страчателла,г
1732,стеклянная лапша,г
1731,стейк семги,г
1730,стейк семги,шт.
1729,ставрида,г
1728,спред,г
1727,спирулина порошок,г
1726,спирт,г
1725,специи,г
1724,спельтовая (полбяная) мука,г
1723,спельта,стакан
1722,спек,г
1721,спаржа молодая,г
1720,спаржа зеленая,г
1719,спаржа белая,г
1718,спаржа,кг
1717,спагетти лунги,г
1716,спагетти № 5,г
1715,спагетти № 3,г
1714,спагетти,г
1713,соя,г
1712,соус экзотический,г
1711,соус чили сладкий,ч. л.
1710,соус чили,г
1709,соус устричный,ч. л.
1708,соус ткемали ранний,ст. л.
1707,соус ткемали благородный,г
1706,соус ткемали,стакан
1705,соус терияки,г
1704,соус табаско,капля
1703,соус сацебели,г
1702,соус песто,по вкусу
1701,соус острый,г
1700,соус наршараб,г
1699,соус мирин,по вкусу
1698,соус красный острый,г
1697,соус краснодарский,г
1696,соус барбекю,г
1695,соус sambal oelek,ч. л.
1694,соус black bean,ст. л.
1693,соус,г
1692,сосиски копченые,г
1691,сосиски из куриного фарша,шт.
1690,сосиски,г
1689,сом филе,г
1688,соль морская,г
1687,соль крупного помола,г
1686,соль гималайская,г
1685,соль,г
1684,соломка,г
1683,солод темный,г
1682,солодовый экстракт,г
1681,солод жидкий,г
1680,солод,ч. л.
1679,сок юзу,мл
1678,сок мультивитаминный,мл
1677,сок из красных апельсинов,мл
1676,сок,г
1675,соевый соус,г
1674,соевые ростки,г
1673,соевое молоко,г
1672,соевое масло,г
1671,соевая мука,г
1670,сода,г
1669,сныть,г
1668,снежок,л
1667,сморчки сухие,г
1666,смородиновые листья,г
1665,смородина сушеная,г
1664,сметана некислая,г
1663,сметана нежирная,г
1662,сметана жирная,г
1661,сметана 35%,г
1660,сметана 30%,г
1659,сметана 25%,г
1658,сметана 20%,г
1657,сметана 18%,г
1656,сметана 15%,ч. л.
1655,сметана 10%,г
1654,сметана,г
1653,смесь для хлеба 8 злаков,г
1652,смесь для оладий,г
1651,смесь для кекса,шт.
1650,смалец,г
1649,сливы замороженные,г
1648,сливы,кг
1647,сливочное масло,г
1646,сливовый соус,г
1645,сливовый ликер,ст. л.
1644,сливовый джем,г
1643,сливовое вино,г
1642,сливовое варенье,г
1641,сливовая паста,г
1640,сливки кондитерские,г
1639,сливки жирные,г
1638,сливки 33-35%,г
1637,сливки 20%,г
1636,сливки 15%,г
1635,сливки 10-20%,г
1634,сливки,упаковка
1633,скумбрия холодного копчения,г
1632,скумбрия филе,г
1631,скумбрия свежая,г
1630,скумбрия,по вкусу
1629,сироп топинамбура,стакан
1628,сироп от консервированных персиков,ст. л.
1627,сироп от консервированных груш,г
1626,сироп,г
1625,сидр,г
1624,сибас,г
1623,сервелат варено-копченый,г
1622,семолина,г
1621,семечки смесь,ст. л.
1620,семечки,г
1619,семга филе на коже,г
1618,семга соленая,г
1617,семга свежая,г
1616,семга копченая,г
1615,семга,г
1614,сельдь филе,г
1613,сельдь соленая,шт.
1612,сельдь слабосоленая,г
1611,сельдь,г
1610,сельдерей стебли,г
1609,сельдерей семена,ч. л.
1608,сельдерейная соль,г
1607,сельдерей корень сушеный,по вкусу
1606,сельдерей корень,г
1605,сельдерей зелень,г
1604,сельдерей,г
1603,свити,г
1602,свиные щечки,шт.
1601,свиные уши,шт.
1600,свиные ребра,г
1599,свиные отбивные на косточке,г
1598,свиные отбивные,г
1597,свиные ножки,г
1596,свиные легкие,г
1595,свиные котлеты на косточке,шт.
1594,свиной язык,г
1593,свиной фарш,г
1592,свиной подчеревок,г
1591,свиное филе,г
1590,свиное сердце,г
1589,свинина с жирком,г
1588,свинина нежирная,г
1587,свинина вареная,г
1586,свинина,г
1585,свиная шейка,кусок
1584,свиная рулька копченая,г
1583,свиная рулька варено-копченая,г
1582,свиная рулька,по вкусу
1581,свиная печень,г
1580,свиная пашина,кг
1579,свиная мякоть,г
1578,свиная лопатка варено-копченая,г
1577,свиная корейка на кости,г
1576,свиная корейка копченая,г
1575,свиная корейка,г
1574,свиная грудинка,г
1573,свиная голова,г
1572,свиная вырезка,г
1571,свекольные листья,г
1570,свекольная ботва,г
1569,свекла вареная,г
1568,свекла,г
1567,сванская соль,г
1566,сахар тростниковый,г
1565,сахар-рафинад с корицей,г
1564,сахар-рафинад,г
1563,сахар пальмовый,г
1562,сахарный сироп,г
1561,сахарный песок мелкий,г
1560,сахарный песок крупный,г
1559,сахарный песок,г
1558,сахарные кондитерские украшения,горсть
1557,сахарные жемчужинки,г
1556,сахарная пудра ванильная,г
1555,сахарная пудра апельсиновая,г
1554,сахарная пудра,г
1553,сахар мусковадо,горсть
1552,сахар коричневый крупнокристаллический,г
1551,сахар коричневый,г
1550,сахар жемчужный,г
1549,сахар демерара,г
1548,сахар ванильный,г
1547,сахар,г
1546,сардины в масле,банка
1545,сардины,г
1544,сардинки маленькие,шт.
1543,сардельки копченые,г
1542,сардельки,г
1541,салями итальянская,г
1540,салями,г
1539,сальса верде,ч. л.
1538,сальса,г
1537,сальник,г
1536,сало с мясными прослойками,г
1535,сало копченое с мясными прослойками,г
1534,сало копченое в перце,г
1533,сало,г
1532,салат фриссе,г
1531,салат романо,г
1530,салатный микс,г
1529,салат листовой,г
1528,салат кучерявый,г
1527,салат кочанный,г
1526,салат корн,пучок
1525,салат китайский,г
1524,салат айсберг,г
1523,салат,г
1522,салака,г
1521,саке,ст. л.
1520,сайра консервированная,банка
1519,сайра,г
1518,сайда филе,г
1517,сайда,г
1516,ряженка 4%,г
1515,ряженка,г
1514,рябчик,г
1513,рябина черноплодная,г
1512,рыбный фарш,г
1511,рыбный соус тайский,г
1510,рыбный соус Nam Pla,г
1509,рыбный соус,г
1508,рыбный бульон,г
1507,"рыбные обрезки, головы, плавники",по вкусу
1506,рыбные кости,г
1505,рыбные консервы,г
1504,рыбное филе,г
1503,рыба-соль,тушка
1502,рыба солнечник филе,шт.
1501,рыба морская,г
1500,рыба-меч,г
1499,рыба красная филе,г
1498,рыба красная соленая,г
1497,рыба красная,г
1496,рыба копченая филе,г
1495,рыба копченая,г
1494,рыба консервированная,банка
1493,рыба белая филе,г
1492,рыба белая,г
1491,рыба,г
1490,рулька,по вкусу
1489,рукола,г
1488,ростбиф,г
1487,ром темный,г
1486,ромовый экстракт,ч. л.
1485,ромашка сушеная,г
1484,ром,бутылка
1483,рокфор,г
1482,розы,г
1481,розовые лепестки,г
1480,розовые бутоны сушеные,г
1479,розовая вода,г
1478,розмарин сушеный,по вкусу
1477,розмарин,шт.
1476,рожь,г
1475,рис японика,г
1474,рис пропаренный и дикий смесь,г
1473,рис пропаренный,г
1472,рисовый уксус,по вкусу
1471,рисовый крахмал,ст. л.
1470,рисовые шарики воздушные,г
1469,рисовые хлопья,г
1468,рисовое вино,ч. л.
1467,рисовая мука,г
1466,рисовая лапша,г
1465,рисовая бумага,г
1464,рис кубанский,г
1463,рис круглозерный,г
1462,рис красный,г
1461,рис карнароли,г
1460,рис италика,г
1459,рис индика,г
1458,рис золотистый,г
1457,рис жасминовый,г
1456,рис для суши,г
1455,рис для ризотто,г
1454,рис для пудинга,г
1453,рис для плова,г
1452,рис длиннозерный золотистый,г
1451,рис длиннозерный,г
1450,рис дикий и золотистый смесь,г
1449,рис дикий,г
1448,рис девзира,г
1447,рис виола,г
1446,рис вареный,г
1445,рис бурый и дикий смесь,г
1444,рис бурый,г
1443,рис басмати,г
1442,рис арборио,г
1441,рис,г
1440,рикотта твердая,г
1439,рикотта,г
1438,ригатони,г
1437,ржаные отруби,г
1436,ржаная мука,г
1435,ржаная закваска густая,г
1434,ржаная закваска,г
1433,репа белая,шт.
1432,репа,г
1431,редька черная,шт.
1430,редька зеленая,шт.
1429,редька белая,шт.
1428,редька,г
1427,редис,г
1426,реган,веточка
1425,ревень,г
1424,растительное молоко,стакан
1423,растительное масло рафинированное,г
1422,растительное масло нерафинированное,стакан
1421,растительное масло для жарки,г
1420,растительное масло,г
1419,рассол от оливок,ст. л.
1418,рассол от каперсов,ст. л.
1417,рассол,г
1416,рапсовое масло,по вкусу
1415,рапаны,г
1414,рамбутан,г
1413,раковые шейки в рассоле,г
1412,раковые шейки,г
1411,раки,шт.
1410,разрыхлитель,г
1409,радиккио,шт.
1408,пюре,по вкусу
1407,пыльца цветочная,г
1406,пшено,г
1405,пшенные хлопья,ст. л.
1404,пшеничные хлопья,г
1403,пшеничные ростки,г
1402,пшеничные отруби,г
1401,пшеничные зародыши,стакан
1400,пшеничная мука цельнозерновая,г
1399,пшеничная мука,г
1398,пшеничная крупа,г
1397,пшеница,г
1396,пудинг карамельный,г
1395,пудинг ванильный инстант,упаковка
1394,пудинг ванильный,г
1393,пудинг,г
1392,птитим,г
1391,псиллиум,г
1390,пряности,г
1389,пряничные специи,г
1388,пряники,г
1387,прошутто,г
1386,протеин сывороточный,г
1385,простокваша,г
1384,просекко,мл
1383,проволоне,г
1382,прованские травы,г
1381,приправы,г
1380,приправа с сушеными грибами,ч. л.
1379,приправа креольская,ст. л.
1378,приправа заатар,ч. л.
1377,приправа для салатов,по вкусу
1376,приправа для рыбы,г
1375,приправа для птицы,ст. л.
1374,приправа для плова,г
1373,приправа для пиццы,ч. л.
1372,приправа для паэльи,по вкусу
1371,приправа для мяса,г
1370,приправа для морепродуктов,по вкусу
1369,приправа для маринования свинины,по вкусу
1368,приправа для макарон,по вкусу
1367,приправа для курицы,г
1366,приправа для картофеля,г
1365,приправа для баранины,ст. л.
1364,приправа 5 специй (five spice),ч. л.
1363,приправа 4 перца,г
1362,почки,г
1361,посыпка кондитерская,по вкусу
1360,портулак,г
1359,портобелло,г
1358,портвейн,г
1357,поросенок,кг
1356,попкорн,г
1355,помидоры черри желтые,г
1354,помидоры черри,г
1353,помидоры сушеные хлопьями,г
1352,помидоры соленые,шт.
1351,помидоры протертые пассата,г
1350,помидоры консервированные в собственном соку с базиликом,г
1349,помидоры консервированные в собственном соку,г
1348,помидоры консервированные,г
1347,помидоры зеленые,кг
1346,помидоры желтые,шт.
1345,помидоры вяленые в масле,г
1344,помидоры вяленые,по вкусу
1343,помидоры бурые,г
1342,помидоры,г
1341,помело,г
1340,полента быстрого приготовления,стакан
1339,полента,по вкусу
1338,полба недозрелая,г
1337,полба,г
1336,подсолнечные семечки,г
1335,подсолнечное масло,г
1334,повидло,г
1333,питы,по вкусу
1332,пикша,шт.
1331,пиво темное,банка
1330,пиво светлое,г
1329,пиво нефильтрованное,г
1328,пиво имбирное,мл
1327,пиво,г
1326,печенье Юбилейное молочное,г
1325,печенье шоколадное,г
1324,печенье сухое,г
1323,печенье сладкое,г
1322,печенье сахарное,г
1321,печенье Савоярди,г
1320,печенье рассыпчатое,г
1319,печенье песочное,г
1318,печенье «Дамские пальчики»,г
1317,печенье галетное,шт.
1316,печенье бисквитное,г
1315,печенье Амаретти,г
1314,печенье Oreo,г
1313,печенье,по вкусу
1312,печень,г
1311,петрушка сушеная,г
1310,петрушка рубленая,г
1309,петрушка корень,г
1308,петрушка итальянская,пучок
1307,петрушка зелень,г
1306,петрушка,г
1305,перцовая паста,ч. л.
1304,персиковый сок,г
1303,персиковый сироп,мл
1302,персиковый мармелад,ст. л.
1301,персиковый джем,г
1300,персиковое пюре,г
1299,персики сушеные,горсть
1298,персики консервированные,г
1297,персики,г
1296,перловая мука,г
1295,перловая крупа,г
1294,перец ямайский,г
1293,перец чили хлопьями,по вкусу
1292,перец чили сухой,ст. л.
1291,перец чили молотый,г
1290,перец чили маринованный,по вкусу
1289,перец чили красный,стручок
1288,перец чили зеленый,стручок
1287,перец чили,г
1286,перец черный свежемолотый,г
1285,перец черный молотый,г
1284,перец черный горошком,по вкусу
1283,перец черный,ст. л.
1282,перец халапеньо маринованный,шт.
1281,перец халапеньо,г
1280,перец сычуаньский,г
1279,перец сладкий сушеный,г
1278,перец сладкий оранжевый,г
1277,перец сладкий красный молотый,г
1276,перец сладкий красный маринованный,шт.
1275,перец сладкий красный,г
1274,перец сладкий зеленый,г
1273,перец сладкий желтый,г
1272,перец сладкий,г
1271,перец сенегальский,по вкусу
1270,перец свежемолотый смесь,г
1269,перец розовый горошком,г
1268,перец пеперони красный,шт.
1267,перец пеперони,г
1266,перец падрон,г
1265,перец острый молотый,щепотка
1264,перец острый зеленый,шт.
1263,перец острый,г
1262,перец маринованный,г
1261,перец лимонный,г
1260,перец красный хлопьями,щепотка
1259,перец красный острый молотый,по вкусу
1258,перец красный острый,г
1257,перец красный молотый,г
1256,перец красный жгучий,г
1255,перец красный горошком,г
1254,перец красный,г
1253,перец кайенский молотый,щепотка
1252,перец кайенский красный,г
1251,перец кайенский,г
1250,перец испанский острый,шт.
1249,перец душистый молотый,г
1248,перец душистый горошком,г
1247,перец душистый,щепотка
1246,перец горошком смесь,г
1245,перец горошком,г
1244,перец болгарский красный,г
1243,перец болгарский зеленый,г
1242,перец болгарский желтый,г
1241,перец болгарский,г
1240,перец белый свежемолотый,ч. л.
1239,перец белый молотый,г
1238,перец белый горошком,по вкусу
1237,перец белый,г
1236,перец,г
1235,перепелки,тушка
1234,переводной лист для шоколада,шт.
1233,пеперончино молотый,щепотка
1232,пеперончино,ч. л.
1231,пенне ригате,г
1230,пенне,г
1229,пельмени,г
1228,пеленгас,г
1227,пектин,г
1226,пекорино,г
1225,пекарский порошок,ч. л.
1224,пекарский порошок,г
1223,паштет,г
1222,пахта,г
1221,патока черная (меласса),г
1220,патока крахмальная,г
1219,патока,г
1218,патиссоны,г
1217,пастила виноградная,г
1216,пастила,г
1215,пастернак,г
1214,паста хариса,ст. л.
1213,паста тахини,г
1212,паста веджимайт,г
1211,паста,г
1210,пармезан,г
1209,паприка сладкая хлопьями,ч. л.
1208,паприка сладкая копченая,г
1207,паприка сладкая,г
1206,паприка острая копченая,г
1205,паприка красная молотая,г
1204,паприка красная,ст. л.
1203,паприка копченая,ст. л.
1202,паприка,г
1201,паппарделле,г
1200,папоротник соленый,упаковка
1199,папоротник,г
1198,папайя консервированная в собственном соку,г
1197,папайя,г
1196,панчетта,г
1195,Панифарин,г
1194,панеттоне,шт.
1193,пангасиус,г
1192,пальмовое масло,г
1191,палтус,г
1190,пажитник семена,г
1189,пажитник,г
1188,пагр,г
1187,ошеек,г
1186,отруби,г
1185,осьминоги мини,г
1184,осьминоги консервированные,г
1183,осьминог,г
1182,осетрина холодного копчения,г
1181,осетр,г
1180,ореховый соус,ст. л.
1179,ореховый ликер,мл
1178,ореховое масло,ст. л.
1177,ореховая паста,шт.
1176,ореховая крошка,стакан
1175,орехи пинии,г
1174,орехи пекан,г
1173,орехи макадамия,г
1172,орехи бразильские,г
1171,орехи,г
1170,орегано сушеный,г
1169,орегано свежий,г
1168,орегано,г
1167,опята маринованные,г
1166,опята замороженные,г
1165,опята,по вкусу
1164,опунция плоды,г
1163,оливковое масло Extra Virgin,г
1162,оливковое масло,г
1161,оливковая паста,г
1160,оливки черные,по вкусу
1159,"оливки, фаршированные анчоусами",г
1158,оливки консервированные,г
1157,оливки каламата,г
1156,оливки зеленые консервированные,банка
1155,оливки зеленые,по вкусу
1154,оливки без косточек,г
1153,оливки,г
1152,оленина,г
1151,окунь филе,г
1150,окунь морской филе,г
1149,окунь морской,г
1148,окунь красный филе,г
1147,окунь,г
1146,окорок варено-копченый,г
1145,окорок,г
1144,одуванчики,г
1143,огурцы соленые,г
1142,огурцы свежие,г
1141,огурцы маринованные,банка
1140,огурцы малосольные,шт.
1139,огурцы консервированные,шт.
1138,огурцы,г
1137,огуречный рассол,стакан
1136,овсяные хлопья быстрого приготовления,г
1135,овсяные хлопья,г
1134,овсяные отруби,г
1133,овсяные зерна,г
1132,овсяное толокно,г
1131,овсяное печенье,г
1130,овсяное молоко,стакан
1129,овсяная мука,г
